Názov obce;Názov okresu;Názov kraja
Suché Brezovo;Okres Veľký Krtíš;Banskobystrický
Suchohrad;Okres Malacky;Bratislavský
Sukov;Okres Medzilaborce;Prešovský
Sulín;Okres Stará Ľubovňa;Prešovský
Súlovce;Okres Topoľčany;Nitriansky
Súľov-Hradná;Okres Bytča;Žilinský
Sušany;Okres Poltár;Banskobystrický
Sútor;Okres Rimavská Sobota;Banskobystrický
Svätá Mária;Okres Trebišov;Košický
Svätoplukovo;Okres Nitra;Nitriansky
Svätuš;Okres Sobrance;Košický
Svätuše;Okres Trebišov;Košický
Svätý Anton;Okres Banská Štiavnica;Banskobystrický
Svätý Jur;Okres Pezinok;Bratislavský
Svätý Kríž;Okres Liptovský Mikuláš;Žilinský
Svätý Peter;Okres Komárno;Nitriansky
Svederník;Okres Žilina;Žilinský
Sverepec;Okres Považská Bystrica;Trenčiansky
Sveržov;Okres Bardejov;Prešovský
Svetlice;Okres Medzilaborce;Prešovský
Svidnička;Okres Svidník;Prešovský
Svidník;Okres Svidník;Prešovský
Svinia;Okres Prešov;Prešovský
Svinica;Okres Košice - okolie;Košický
Svinice;Okres Trebišov;Košický
Svinná;Okres Trenčín;Trenčiansky
Svit;Okres Poprad;Prešovský
Svodín;Okres Nové Zámky;Nitriansky
Svrbice;Okres Topoľčany;Nitriansky
Svrčinovec;Okres Čadca;Žilinský
Šahy;Okres Levice;Nitriansky
Šajdíkove Humence;Okres Senica;Trnavský
Šaľa;Okres Šaľa;Nitriansky
Šalgočka;Okres Galanta;Trnavský
Šalgovce;Okres Topoľčany;Nitriansky
Šalov;Okres Levice;Nitriansky
Šambron;Okres Stará Ľubovňa;Prešovský
Šamorín;Okres Dunajská Streda;Trnavský
Šamudovce;Okres Michalovce;Košický
Šandal;Okres Stropkov;Prešovský
Šarbov;Okres Svidník;Prešovský
Šarišská Poruba;Okres Prešov;Prešovský
Šarišská Trstená;Okres Prešov;Prešovský
Šarišské Bohdanovce;Okres Prešov;Prešovský
Šarišské Čierne;Okres Bardejov;Prešovský
Šarišské Dravce;Okres Sabinov;Prešovský
Šarišské Jastrabie;Okres Stará Ľubovňa;Prešovský
Šarišské Michaľany;Okres Sabinov;Prešovský
Šarišské Sokolovce;Okres Sabinov;Prešovský
Šarišský Štiavnik;Okres Svidník;Prešovský
Šarkan;Okres Nové Zámky;Nitriansky
Šarovce;Okres Levice;Nitriansky
Šašová;Okres Bardejov;Prešovský
Šaštín-Stráže;Okres Senica;Trnavský
Šávoľ;Okres Lučenec;Banskobystrický
Šelpice;Okres Trnava;Trnavský
Šemetkovce;Okres Svidník;Prešovský
Šemša;Okres Košice - okolie;Košický
Šenkvice;Okres Pezinok;Bratislavský
Šiatorská Bukovinka;Okres Lučenec;Banskobystrický
Šiba;Okres Bardejov;Prešovský
Šíd;Okres Lučenec;Banskobystrický
Šimonovce;Okres Rimavská Sobota;Banskobystrický
Šindliar;Okres Prešov;Prešovský
Šintava;Okres Galanta;Trnavský
Šípkov;Okres Bánovce nad Bebravou;Trenčiansky
Šípkové;Okres Piešťany;Trnavský
Širákov;Okres Veľký Krtíš;Banskobystrický
Širkovce;Okres Rimavská Sobota;Banskobystrický
Široké;Okres Prešov;Prešovský
Šišov;Okres Bánovce nad Bebravou;Trenčiansky
Šivetice;Okres Revúca;Banskobystrický
Šmigovec;Okres Snina;Prešovský
Šoltýska;Okres Poltár;Banskobystrický
Šoporňa;Okres Galanta;Trnavský
Špačince;Okres Trnava;Trnavský
Špania Dolina;Okres Banská Bystrica;Banskobystrický
Španie Pole;Okres Rimavská Sobota;Banskobystrický
Šrobárová;Okres Komárno;Nitriansky
Štefanov;Okres Senica;Trnavský
Štefanov nad Oravou;Okres Tvrdošín;Žilinský
Štefanová;Okres Pezinok;Bratislavský
Štefanovce, okres Prešov;Okres Prešov;Prešovský
Štefanovce, okres Vranov nad Topľou;Okres Vranov nad Topľou;Prešovský
Štefanovičová;Okres Nitra;Nitriansky
Štefurov;Okres Svidník;Prešovský
Šterusy;Okres Piešťany;Trnavský
Štiavnické Bane;Okres Banská Štiavnica;Banskobystrický
Štiavnička;Okres Ružomberok;Žilinský
Štiavnik;Okres Bytča;Žilinský
Štitáre;Okres Nitra;Nitriansky
Štítnik;Okres Rožňava;Košický
Štós;Okres Košice - okolie;Košický
Štôla;Okres Poprad;Prešovský
Štrba;Okres Poprad;Prešovský
Štrkovec;Okres Rimavská Sobota;Banskobystrický
Štúrovo;Okres Nové Zámky;Nitriansky
Štvrtok;Okres Trenčín;Trenčiansky
Štvrtok na Ostrove;Okres Dunajská Streda;Trnavský
Šuja;Okres Žilina;Žilinský
Šuľa;Okres Veľký Krtíš;Banskobystrický
Šumiac;Okres Brezno;Banskobystrický
Šuňava;Okres Poprad;Prešovský
Šurany;Okres Nové Zámky;Nitriansky
Šurianky;Okres Nitra;Nitriansky
Šurice;Okres Lučenec;Banskobystrický
Šúrovce;Okres Trnava;Trnavský
Šútovce;Okres Prievidza;Trenčiansky
Šútovo;Okres Martin;Žilinský
Švábovce;Okres Poprad;Prešovský
Švedlár;Okres Gelnica;Košický
Švošov;Okres Ružomberok;Žilinský
Tachty;Okres Rimavská Sobota;Banskobystrický
Tajná;Okres Nitra;Nitriansky
Tajov;Okres Banská Bystrica;Banskobystrický
Ťapešovo;Okres Námestovo;Žilinský
Tarnov;Okres Bardejov;Prešovský
Tašuľa;Okres Sobrance;Košický
Tatranská Javorina;Okres Poprad;Prešovský
Tehla;Okres Levice;Nitriansky
Tekolďany;Okres Hlohovec;Trnavský
Tekovská Breznica;Okres Žarnovica;Banskobystrický
Tekovské Lužany;Okres Levice;Nitriansky
Tekovské Nemce;Okres Zlaté Moravce;Nitriansky
Tekovský Hrádok;Okres Levice;Nitriansky
Telgárt;Okres Brezno;Banskobystrický
Telince;Okres Nitra;Nitriansky
Temeš;Okres Prievidza;Trenčiansky
Teplička;Okres Spišská Nová Ves;Košický
Teplička nad Váhom;Okres Žilina;Žilinský
Tepličky;Okres Hlohovec;Trnavský
Teplý Vrch;Okres Rimavská Sobota;Banskobystrický
Terany;Okres Krupina;Banskobystrický
Terchová;Okres Žilina;Žilinský
Teriakovce;Okres Prešov;Prešovský
Terňa;Okres Prešov;Prešovský
Tesáre;Okres Topoľčany;Nitriansky
Tesárske Mlyňany;Okres Zlaté Moravce;Nitriansky
Tešedíkovo;Okres Šaľa;Nitriansky
Tibava;Okres Sobrance;Košický
Tichý Potok;Okres Sabinov;Prešovský
Timoradza;Okres Bánovce nad Bebravou;Trenčiansky
Tisinec;Okres Stropkov;Prešovský
Tisovec;Okres Rimavská Sobota;Banskobystrický
Tlmače;Okres Levice;Nitriansky
Točnica;Okres Lučenec;Banskobystrický
Tokajík;Okres Stropkov;Prešovský
Tomášikovo;Okres Galanta;Trnavský
Tomášov;Okres Senec;Bratislavský
Tomášovce, okres Lučenec;Okres Lučenec;Banskobystrický
Tomášovce, okres Rimavská Sobota;Okres Rimavská Sobota;Banskobystrický
Topoľa;Okres Snina;Prešovský
Topoľčany;Okres Topoľčany;Nitriansky
Topoľčianky;Okres Zlaté Moravce;Nitriansky
Topoľnica;Okres Galanta;Trnavský
Topoľníky;Okres Dunajská Streda;Trnavský
Topoľovka;Okres Humenné;Prešovský
Toporec;Okres Kežmarok;Prešovský
Tornaľa;Okres Revúca;Banskobystrický
Torysa;Okres Sabinov;Prešovský
Torysky;Okres Levoča;Prešovský
Tovarné;Okres Vranov nad Topľou;Prešovský
Tovarnianska Polianka;Okres Vranov nad Topľou;Prešovský
Tovarníky;Okres Topoľčany;Nitriansky
Tôň;Okres Komárno;Nitriansky
Trakovice;Okres Hlohovec;Trnavský
Trávnica;Okres Nové Zámky;Nitriansky
Trávnik;Okres Komárno;Nitriansky
Trebatice;Okres Piešťany;Trnavský
Trebejov;Okres Košice - okolie;Košický
Trebeľovce;Okres Lučenec;Banskobystrický
Trebichava;Okres Bánovce nad Bebravou;Trenčiansky
Trebišov;Okres Trebišov;Košický
Trebostovo;Okres Martin;Žilinský
Trebušovce;Okres Veľký Krtíš;Banskobystrický
Trenč;Okres Lučenec;Banskobystrický
Trenčianska Teplá;Okres Trenčín;Trenčiansky
Trenčianska Turná;Okres Trenčín;Trenčiansky
Trenčianske Bohuslavice;Okres Nové Mesto nad Váhom;Trenčiansky
Trenčianske Jastrabie;Okres Trenčín;Trenčiansky
Trenčianske Mitice;Okres Trenčín;Trenčiansky
Trenčianske Stankovce;Okres Trenčín;Trenčiansky
Trenčianske Teplice;Okres Trenčín;Trenčiansky
Trenčín;Okres Trenčín;Trenčiansky
Trhová Hradská;Okres Dunajská Streda;Trnavský
Trhovište;Okres Michalovce;Košický
Trnava;Okres Trnava;Trnavský
Trnavá Hora;Okres Žiar nad Hronom;Banskobystrický
Trnava pri Laborci;Okres Michalovce;Košický
Trnávka, okres Dunajská Streda;Okres Dunajská Streda;Trnavský
Trnávka, okres Trebišov;Okres Trebišov;Košický
Tŕnie;Okres Zvolen;Banskobystrický
Trnkov;Okres Prešov;Prešovský
Trnovec;Okres Skalica;Trnavský
Trnovec nad Váhom;Okres Šaľa;Nitriansky
Trnovo;Okres Martin;Žilinský
Tročany;Okres Bardejov;Prešovský
Trpín;Okres Krupina;Banskobystrický
Trsťany;Okres Košice - okolie;Košický
Trstená;Okres Tvrdošín;Žilinský
Trstená na Ostrove;Okres Dunajská Streda;Trnavský
Trstené;Okres Liptovský Mikuláš;Žilinský
Trstené pri Hornáde;Okres Košice - okolie;Košický
Trstice;Okres Galanta;Trnavský
Trstín;Okres Trnava;Trnavský
Tuhár;Okres Lučenec;Banskobystrický
Tuhrina;Okres Prešov;Prešovský
Tuchyňa;Okres Ilava;Trenčiansky
Tulčík;Okres Prešov;Prešovský
Tupá;Okres Levice;Nitriansky
Turá;Okres Levice;Nitriansky
Turany;Okres Martin;Žilinský
Turany nad Ondavou;Okres Stropkov;Prešovský
Turcovce;Okres Humenné;Prešovský
Turček;Okres Turčianske Teplice;Žilinský
Turčianky;Okres Partizánske;Trenčiansky
Turčianska Štiavnička;Okres Martin;Žilinský
Turčianske Jaseno;Okres Martin;Žilinský
Turčianske Kľačany;Okres Martin;Žilinský
Turčianske Teplice;Okres Turčianske Teplice;Žilinský
Turčiansky Ďur;Okres Martin;Žilinský
Turčiansky Peter;Okres Martin;Žilinský
Turčok;Okres Revúca;Banskobystrický
Turecká;Okres Banská Bystrica;Banskobystrický
Tureň;Okres Senec;Bratislavský
Turie;Okres Žilina;Žilinský
Turík;Okres Ružomberok;Žilinský
Turňa nad Bodvou;Okres Košice - okolie;Košický
Turnianska Nová Ves;Okres Košice - okolie;Košický
Turová;Okres Zvolen;Banskobystrický
Turzovka;Okres Čadca;Žilinský
Tušice;Okres Michalovce;Košický
Tušická Nová Ves;Okres Michalovce;Košický
Tužina;Okres Prievidza;Trenčiansky
Tvarožná;Okres Kežmarok;Prešovský
Tvrdomestice;Okres Topoľčany;Nitriansky
Tvrdošín;Okres Tvrdošín;Žilinský
Tvrdošovce;Okres Nové Zámky;Nitriansky
Ubľa;Okres Snina;Prešovský
Úbrež;Okres Sobrance;Košický
Udavské;Okres Humenné;Prešovský
Udiča;Okres Považská Bystrica;Trenčiansky
Údol;Okres Stará Ľubovňa;Prešovský
Uhliská;Okres Levice;Nitriansky
Úhorná;Okres Gelnica;Košický
Uhorská Ves;Okres Liptovský Mikuláš;Žilinský
Uhorské;Okres Poltár;Banskobystrický
Uhrovec;Okres Bánovce nad Bebravou;Trenčiansky
Uhrovské Podhradie;Okres Bánovce nad Bebravou;Trenčiansky
Úľany nad Žitavou;Okres Nové Zámky;Nitriansky
Ulič;Okres Snina;Prešovský
Uličské Krivé;Okres Snina;Prešovský
Uloža;Okres Levoča;Prešovský
Uňatín;Okres Krupina;Banskobystrický
Unín;Okres Skalica;Trnavský
Urmince;Okres Topoľčany;Nitriansky
Utekáč;Okres Poltár;Banskobystrický
Uzovce;Okres Sabinov;Prešovský
Uzovská Panica;Okres Rimavská Sobota;Banskobystrický
Uzovské Pekľany;Okres Sabinov;Prešovský
Uzovský Šalgov;Okres Sabinov;Prešovský
Vaďovce;Okres Nové Mesto nad Váhom;Trenčiansky
Vagrinec;Okres Svidník;Prešovský
Váhovce;Okres Galanta;Trnavský
Vajkovce;Okres Košice - okolie;Košický
Valaliky;Okres Košice - okolie;Košický
Valaská;Okres Brezno;Banskobystrický
Valaská Belá;Okres Prievidza;Trenčiansky
Valaská Dubová;Okres Ružomberok;Žilinský
Valča;Okres Martin;Žilinský
Valentovce;Okres Medzilaborce;Prešovský
Valice;Okres Rimavská Sobota;Banskobystrický
Valkovce;Okres Svidník;Prešovský
Vaľkovňa;Okres Brezno;Banskobystrický
Vaniškovce;Okres Bardejov;Prešovský
Vápeník;Okres Svidník;Prešovský
Varadka;Okres Bardejov;Prešovský
Varechovce;Okres Stropkov;Prešovský
Varhaňovce;Okres Prešov;Prešovský
Varín;Okres Žilina;Žilinský
Vasiľov;Okres Námestovo;Žilinský
Vavrečka;Okres Námestovo;Žilinský
Vavrinec;Okres Vranov nad Topľou;Prešovský
Vavrišovo;Okres Liptovský Mikuláš;Žilinský
Važec;Okres Liptovský Mikuláš;Žilinský
Včelince;Okres Rimavská Sobota;Banskobystrický
Večelkov;Okres Rimavská Sobota;Banskobystrický
Vechec;Okres Vranov nad Topľou;Prešovský
Veľaty;Okres Trebišov;Košický
Velčice;Okres Zlaté Moravce;Nitriansky
Veličná;Okres Dolný Kubín;Žilinský
Veľká Čalomija;Okres Veľký Krtíš;Banskobystrický
Veľká Čausa;Okres Prievidza;Trenčiansky
Veľká Čierna;Okres Žilina;Žilinský
Veľká Dolina;Okres Nitra;Nitriansky
Veľká Franková;Okres Kežmarok;Prešovský
Veľká Hradná;Okres Trenčín;Trenčiansky
Veľká Ida;Okres Košice - okolie;Košický
Veľká Lehota;Okres Žarnovica;Banskobystrický
Veľká Lesná;Okres Stará Ľubovňa;Prešovský
Veľká Lodina;Okres Košice - okolie;Košický
Veľká Lomnica;Okres Kežmarok;Prešovský
Veľká Lúka;Okres Zvolen;Banskobystrický
Veľká Mača;Okres Galanta;Trnavský
Veľká nad Ipľom;Okres Lučenec;Banskobystrický
Veľká Paka;Okres Dunajská Streda;Trnavský
Veľká Tŕňa;Okres Trebišov;Košický
Veľká Ves;Okres Poltár;Banskobystrický
Veľká Ves nad Ipľom;Okres Veľký Krtíš;Banskobystrický
Veľké Bierovce;Okres Trenčín;Trenčiansky
Veľké Blahovo;Okres Dunajská Streda;Trnavský
Veľké Borové;Okres Liptovský Mikuláš;Žilinský
Veľké Dravce;Okres Lučenec;Banskobystrický
Veľké Držkovce;Okres Bánovce nad Bebravou;Trenčiansky
Veľké Dvorany;Okres Topoľčany;Nitriansky
Veľké Dvorníky;Okres Dunajská Streda;Trnavský
Veľké Hoste;Okres Bánovce nad Bebravou;Trenčiansky
Veľké Chlievany;Okres Bánovce nad Bebravou;Trenčiansky
Veľké Chyndice;Okres Nitra;Nitriansky
Veľké Kapušany;Okres Michalovce;Košický
Veľké Kosihy;Okres Komárno;Nitriansky
Veľké Kostoľany;Okres Piešťany;Trnavský
Veľké Kozmálovce;Okres Levice;Nitriansky
Veľké Kršteňany;Okres Partizánske;Trenčiansky
Veľké Leváre;Okres Malacky;Bratislavský
Veľké Lovce;Okres Nové Zámky;Nitriansky
Veľké Ludince;Okres Levice;Nitriansky
Veľké Orvište;Okres Piešťany;Trnavský
Veľké Ozorovce;Okres Trebišov;Košický
Veľké Pole;Okres Žarnovica;Banskobystrický
Veľké Raškovce;Okres Michalovce;Košický
Veľké Revištia;Okres Sobrance;Košický
Veľké Ripňany;Okres Topoľčany;Nitriansky
Veľké Rovné;Okres Bytča;Žilinský
Veľké Slemence;Okres Michalovce;Košický
Veľké Straciny;Okres Veľký Krtíš;Banskobystrický
Veľké Teriakovce;Okres Rimavská Sobota;Banskobystrický
Veľké Trakany;Okres Trebišov;Košický
Veľké Turovce;Okres Levice;Nitriansky
Veľké Uherce;Okres Partizánske;Trenčiansky
Veľké Úľany;Okres Galanta;Trnavský
Veľké Vozokany;Okres Zlaté Moravce;Nitriansky
Veľké Zálužie;Okres Nitra;Nitriansky
Veľké Zlievce;Okres Veľký Krtíš;Banskobystrický
Veľkrop;Okres Stropkov;Prešovský
Veľký Biel;Okres Senec;Bratislavský
Veľký Blh;Okres Rimavská Sobota;Banskobystrický
Veľký Cetín;Okres Nitra;Nitriansky
Veľký Čepčín;Okres Turčianske Teplice;Žilinský
Veľký Ďur;Okres Levice;Nitriansky
Veľký Folkmar;Okres Gelnica;Košický
Veľký Grob;Okres Galanta;Trnavský
Veľký Horeš;Okres Trebišov;Košický
Veľký Kamenec;Okres Trebišov;Košický
Veľký Klíž;Okres Partizánske;Trenčiansky
Veľký Krtíš;Okres Veľký Krtíš;Banskobystrický
Veľký Kýr;Okres Nové Zámky;Nitriansky
Veľký Lapáš;Okres Nitra;Nitriansky
Veľký Lipník;Okres Stará Ľubovňa;Prešovský
Veľký Lom;Okres Veľký Krtíš;Banskobystrický
Veľký Meder;Okres Dunajská Streda;Trnavský
Veľký Slavkov;Okres Poprad;Prešovský
Veľký Slivník;Okres Prešov;Prešovský
Veľký Šariš;Okres Prešov;Prešovský
Veľopolie;Okres Humenné;Prešovský
Velušovce;Okres Topoľčany;Nitriansky
Vernár;Okres Poprad;Prešovský
Veselé;Okres Piešťany;Trnavský
Veterná Poruba;Okres Liptovský Mikuláš;Žilinský
Vidiná;Okres Lučenec;Banskobystrický
Vieska nad Blhom;Okres Rimavská Sobota;Banskobystrický
Vieska nad Žitavou;Okres Zlaté Moravce;Nitriansky
Vieska, okres Dunajská Streda;Okres Dunajská Streda;Trnavský
Vieska, okres Veľký Krtíš;Okres Veľký Krtíš;Banskobystrický
Vígľaš;Okres Detva;Banskobystrický
Vígľašská Huta-Kalinka;Okres Detva;Banskobystrický
Vikartovce;Okres Poprad;Prešovský
Vinica;Okres Veľký Krtíš;Banskobystrický
Viničky;Okres Trebišov;Košický
Viničné;Okres Pezinok;Bratislavský
Vinné;Okres Michalovce;Košický
Vinodol;Okres Nitra;Nitriansky
Vinohrady nad Váhom;Okres Galanta;Trnavský
Vinosady;Okres Pezinok;Bratislavský
Virt;Okres Komárno;Nitriansky
Vislanka;Okres Stará Ľubovňa;Prešovský
Vislava;Okres Stropkov;Prešovský
Visolaje;Okres Púchov;Trenčiansky
Višňov;Okres Trebišov;Košický
Višňové, okres Nové Mesto nad Váhom;Okres Nové Mesto nad Váhom;Trenčiansky
Višňové, okres Revúca;Okres Revúca;Banskobystrický
Višňové, okres Žilina;Okres Žilina;Žilinský
Vištuk;Okres Pezinok;Bratislavský
Vitanová;Okres Tvrdošín;Žilinský
Víťaz;Okres Prešov;Prešovský
Víťazovce;Okres Humenné;Prešovský
Vítkovce;Okres Spišská Nová Ves;Košický
Vlača;Okres Vranov nad Topľou;Prešovský
Vladiča;Okres Stropkov;Prešovský
Vlachovo;Okres Rožňava;Košický
Vlachy;Okres Liptovský Mikuláš;Žilinský
Vlčany;Okres Šaľa;Nitriansky
Vlčkovce;Okres Trnava;Trnavský
Vlkanová;Okres Banská Bystrica;Banskobystrický
Vlkas;Okres Nové Zámky;Nitriansky
Vlková;Okres Kežmarok;Prešovský
Vlkovce;Okres Kežmarok;Prešovský
Vlky;Okres Senec;Bratislavský
Vlkyňa;Okres Rimavská Sobota;Banskobystrický
Voderady;Okres Trnava;Trnavský
Vojany;Okres Michalovce;Košický
Vojčice;Okres Trebišov;Košický
Vojka;Okres Trebišov;Košický
Vojka nad Dunajom;Okres Dunajská Streda;Trnavský
Vojkovce;Okres Spišská Nová Ves;Košický
Vojňany;Okres Kežmarok;Prešovský
Vojnatina;Okres Sobrance;Košický
Vojtovce;Okres Stropkov;Prešovský
Voľa;Okres Michalovce;Košický
Volica;Okres Medzilaborce;Prešovský
Volkovce;Okres Zlaté Moravce;Nitriansky
Voznica;Okres Žarnovica;Banskobystrický
Vozokany, okres Galanta;Okres Galanta;Trnavský
Vozokany, okres Topoľčany;Okres Topoľčany;Nitriansky
Vráble;Okres Nitra;Nitriansky
Vrádište;Okres Skalica;Trnavský
Vrakúň;Okres Dunajská Streda;Trnavský
Vranov nad Topľou;Okres Vranov nad Topľou;Prešovský
Vrbnica;Okres Michalovce;Košický
Vrbov;Okres Kežmarok;Prešovský
Vrbová nad Váhom;Okres Komárno;Nitriansky
Vrbovce;Okres Myjava;Trenčiansky
Vrbové;Okres Piešťany;Trnavský
Vrbovka;Okres Veľký Krtíš;Banskobystrický
Vrchteplá;Okres Považská Bystrica;Trenčiansky
Vrícko;Okres Martin;Žilinský
Vršatské Podhradie;Okres Ilava;Trenčiansky
Vrútky;Okres Martin;Žilinský
Vtáčkovce;Okres Košice - okolie;Košický
Výborná;Okres Kežmarok;Prešovský
Výčapy-Opatovce;Okres Nitra;Nitriansky
Vydrany;Okres Dunajská Streda;Trnavský
Vydrná;Okres Púchov;Trenčiansky
Vydrník;Okres Poprad;Prešovský
Vyhne;Okres Žiar nad Hronom;Banskobystrický
Východná;Okres Liptovský Mikuláš;Žilinský
Výrava;Okres Medzilaborce;Prešovský
Vysočany;Okres Bánovce nad Bebravou;Trenčiansky
Vysoká nad Kysucou;Okres Čadca;Žilinský
Vysoká nad Uhom;Okres Michalovce;Košický
Vysoká pri Morave;Okres Malacky;Bratislavský
Vysoká, okres Banská Štiavnica;Okres Banská Štiavnica;Banskobystrický
Vysoká, okres Sabinov;Okres Sabinov;Prešovský
Vysoké Tatry;Okres Poprad;Prešovský
Vyškovce;Okres Stropkov;Prešovský
Vyškovce nad Ipľom;Okres Levice;Nitriansky
Vyšná Boca;Okres Liptovský Mikuláš;Žilinský
Vyšná Hutka;Okres Košice - okolie;Košický
Vyšná Jablonka;Okres Humenné;Prešovský
Vyšná Jedľová;Okres Svidník;Prešovský
Vyšná Kamenica;Okres Košice - okolie;Košický
Vyšná Myšľa;Okres Košice - okolie;Košický
Vyšná Olšava;Okres Stropkov;Prešovský
Vyšná Pisaná;Okres Svidník;Prešovský
Vyšná Polianka;Okres Bardejov;Prešovský
Vyšná Rybnica;Okres Sobrance;Košický
Vyšná Sitnica;Okres Humenné;Prešovský
Vyšná Slaná;Okres Rožňava;Košický
Vyšná Šebastová;Okres Prešov;Prešovský
Vyšná Voľa;Okres Bardejov;Prešovský
Vyšné Ladičkovce;Okres Humenné;Prešovský
Vyšné nad Hronom;Okres Levice;Nitriansky
Vyšné Nemecké;Okres Sobrance;Košický
Vyšné Remety;Okres Sobrance;Košický
Vyšné Repaše;Okres Levoča;Prešovský
Vyšné Ružbachy;Okres Stará Ľubovňa;Prešovský
Vyšné Valice;Okres Rimavská Sobota;Banskobystrický
Vyšný Čaj;Okres Košice - okolie;Košický
Vyšný Hrabovec;Okres Stropkov;Prešovský
Vyšný Hrušov;Okres Humenné;Prešovský
Vyšný Kazimír;Okres Vranov nad Topľou;Prešovský
Vyšný Klátov;Okres Košice - okolie;Košický
Vyšný Komárnik;Okres Svidník;Prešovský
Vyšný Kručov;Okres Bardejov;Prešovský
Vyšný Kubín;Okres Dolný Kubín;Žilinský
Vyšný Medzev;Okres Košice - okolie;Košický
Vyšný Mirošov;Okres Svidník;Prešovský
Vyšný Orlík;Okres Svidník;Prešovský
Vyšný Skálnik;Okres Rimavská Sobota;Banskobystrický
Vyšný Slavkov;Okres Levoča;Prešovský
Vyšný Tvarožec;Okres Bardejov;Prešovský
Vyšný Žipov;Okres Vranov nad Topľou;Prešovský
Zábiedovo;Okres Tvrdošín;Žilinský
Záborie;Okres Martin;Žilinský
Záborské;Okres Prešov;Prešovský
Zádiel;Okres Košice - okolie;Košický
Zádor;Okres Rimavská Sobota;Banskobystrický
Záhor;Okres Sobrance;Košický
Záhorce;Okres Veľký Krtíš;Banskobystrický
Záhorie (vojenský obvod);Okres Malacky;Bratislavský
Záhorská Ves;Okres Malacky;Bratislavský
Záhradné;Okres Prešov;Prešovský
Zacharovce;Okres Rimavská Sobota;Banskobystrický
Zákamenné;Okres Námestovo;Žilinský
Zákopčie;Okres Čadca;Žilinský
Zalaba;Okres Levice;Nitriansky
Zálesie, okres Kežmarok;Okres Kežmarok;Prešovský
Zálesie, okres Senec;Okres Senec;Bratislavský
Zalužice;Okres Michalovce;Košický
Zamarovce;Okres Trenčín;Trenčiansky
Zámutov;Okres Vranov nad Topľou;Prešovský
Záriečie;Okres Púchov;Trenčiansky
Záskalie;Okres Považská Bystrica;Trenčiansky
Zatín;Okres Trebišov;Košický
Závada, okres Humenné;Okres Humenné;Prešovský
Závada, okres Topoľčany;Okres Topoľčany;Nitriansky
Závada, okres Veľký Krtíš;Okres Veľký Krtíš;Banskobystrický
Závadka nad Hronom;Okres Brezno;Banskobystrický
Závadka, okres Gelnica;Okres Gelnica;Košický
Závadka, okres Humenné;Okres Humenné;Prešovský
Závadka, okres Michalovce;Okres Michalovce;Košický
Zavar;Okres Trnava;Trnavský
Závažná Poruba;Okres Liptovský Mikuláš;Žilinský
Závod;Okres Malacky;Bratislavský
Zázrivá;Okres Dolný Kubín;Žilinský
Zbehňov;Okres Trebišov;Košický
Zbehy;Okres Nitra;Nitriansky
Zboj;Okres Snina;Prešovský
Zbojné;Okres Medzilaborce;Prešovský
Zborov;Okres Bardejov;Prešovský
Zborov nad Bystricou;Okres Čadca;Žilinský
Zbrojníky;Okres Levice;Nitriansky
Zbudská Belá;Okres Medzilaborce;Prešovský
Zbudské Dlhé;Okres Humenné;Prešovský
Zbudza;Okres Michalovce;Košický
Zbyňov;Okres Žilina;Žilinský
Zeleneč;Okres Trnava;Trnavský
Zemianska Olča;Okres Komárno;Nitriansky
Zemianske Kostoľany;Okres Prievidza;Trenčiansky
Zemianske Podhradie;Okres Nové Mesto nad Váhom;Trenčiansky
Zemianske Sady;Okres Galanta;Trnavský
Zemiansky Vrbovok;Okres Krupina;Banskobystrický
Zemné;Okres Nové Zámky;Nitriansky
Zemplín;Okres Trebišov;Košický
Zemplínska Nová Ves;Okres Trebišov;Košický
Zemplínska Široká;Okres Michalovce;Košický
Zemplínska Teplica;Okres Trebišov;Košický
Zemplínske Hámre;Okres Snina;Prešovský
Zemplínske Hradište;Okres Trebišov;Košický
Zemplínske Jastrabie;Okres Trebišov;Košický
Zemplínske Kopčany;Okres Michalovce;Košický
Zemplínsky Branč;Okres Trebišov;Košický
Zlatá Baňa;Okres Prešov;Prešovský
Zlatá Idka;Okres Košice - okolie;Košický
Zlaté;Okres Bardejov;Prešovský
Zlaté Klasy;Okres Dunajská Streda;Trnavský
Zlaté Moravce;Okres Zlaté Moravce;Nitriansky
Zlatná na Ostrove;Okres Komárno;Nitriansky
Zlatník;Okres Vranov nad Topľou;Prešovský
Zlatníky;Okres Bánovce nad Bebravou;Trenčiansky
Zlatno, okres Poltár;Okres Poltár;Banskobystrický
Zlatno, okres Zlaté Moravce;Okres Zlaté Moravce;Nitriansky
Zliechov;Okres Ilava;Trenčiansky
Zohor;Okres Malacky;Bratislavský
Zombor;Okres Veľký Krtíš;Banskobystrický
Zubák;Okres Púchov;Trenčiansky
Zuberec;Okres Tvrdošín;Žilinský
Zubné;Okres Humenné;Prešovský
Zubrohlava;Okres Námestovo;Žilinský
Zvolen;Okres Zvolen;Banskobystrický
Zvolenská Slatina;Okres Zvolen;Banskobystrický
Zvončín;Okres Trnava;Trnavský
Žabokreky;Okres Martin;Žilinský
Žabokreky nad Nitrou;Okres Partizánske;Trenčiansky
Žakarovce;Okres Gelnica;Košický
Žakovce;Okres Kežmarok;Prešovský
Žalobín;Okres Vranov nad Topľou;Prešovský
Žarnov;Okres Košice - okolie;Košický
Žarnovica;Okres Žarnovica;Banskobystrický
